order_id,num_items
657,19
2203,29
2255,12
2654,2
2755,4
4024,4
4200,2
4498,4
6119,19
6181,26
6254,3
6629,11
8515,11
9161,2
9594,15
10853,8
12303,10
12563,5
12890,26
13091,20
13231,15
13853,9
14491,15
15810,2
16041,9
16955,14
17005,12
17399,6
19016,11
20085,5
20140,20
21908,4
22434,28
23131,13
23557,15
24088,5
24887,6
24905,36
27011,17
27468,22
27555,3
27917,12
28389,14
31275,5
33660,5
34705,2
36592,9
36949,13
38488,1
39210,11
39334,22
39554,15
40833,8
43091,10
43814,4
43863,13
43977,7
44367,12
45549,11
46150,4
46179,42
46262,16
46534,19
49183,3
49556,5
49847,4
50778,7
53236,8
54033,7
54524,13
54705,4
55528,5
56229,3
57828,20
57842,8
58363,15
59130,7
59742,4
62364,3
62805,2
64476,18
65152,9
65859,5
66194,3
67737,6
68066,1
68213,5
68903,11
69772,31
73082,14
74286,13
74694,7
75189,4
75258,4
76185,4
76731,10
77437,10
77926,16
77947,7
78745,1
82133,6
82865,34
83232,7
83631,4
85328,4
85984,8
86528,10
86648,7
86676,11
87203,10
87823,4
88280,6
88543,10
89097,10
90188,14
90695,20
91106,27
91349,1
91867,7
92632,9
92701,12
93333,26
93539,9
94102,4
95386,22
95826,19
96371,15
98235,5
98880,2
99541,4
99791,7
100509,9
100805,20
101384,8
101518,17
101963,3
102146,11
102289,7
102375,8
102634,10
103457,9
103922,6
107241,10
107532,12
108191,5
108481,5
108499,29
108877,10
109258,15
109572,12
110285,2
111296,7
111580,10
111708,6
112026,17
112338,8
112647,10
112731,17
112828,25
113451,30
114526,1
114688,5
114729,5
114831,3
116034,5
116551,2
117194,3
117249,8
117335,7
118487,11
118800,13
119146,10
119339,2
120251,21
121409,10
122013,6
122135,1
123091,19
123724,6
124405,7
125800,27
125951,7
126432,6
126541,9
126884,38
129552,6
130214,17
131282,2
134180,15
135389,8
135449,6
136867,23
137125,16
137747,4
138395,20
140564,19
140808,16
141509,9
142658,18
143310,26
143922,16
144490,8
145207,10
146235,8
147064,14
147843,18
147870,12
148549,12
148551,18
149099,13
150567,18
152077,18
154365,6
154839,2
155001,3
155231,6
155239,10
155455,7
156074,4
156410,20
156582,27
156636,27
157727,25
158599,10
159148,2
159207,6
159697,8
160448,3
161622,28
162062,12
162836,5
163455,17
163791,2
164336,18
164766,29
165452,8
166604,11
167141,12
167689,6
167824,22
168054,8
169747,15
169896,16
170093,4
170184,7
170257,10
173968,9
176381,7
176766,8
177498,8
180124,8
180800,12
182301,1
182382,1
183699,9
183965,4
184435,9
187344,11
188680,23
188918,3
189421,14
190232,19
192128,21
193591,22
194896,15
195710,13
195949,8
196501,8
197028,1
198286,17
200565,18
200949,12
201300,4
201419,11
201488,1
201737,11
202405,4
203287,15
204139,14
204911,4
204977,11
206008,5
206730,21
206816,15
207058,17
207178,11
207527,43
208353,16
208385,9
208718,27
209352,15
209791,6
209810,11
211498,13
212252,7
212519,1
212601,19
213186,4
214532,8
215217,12
216209,12
217729,5
217755,8
217928,6
218345,11
220324,10
222858,2
223073,6
224857,16
224901,6
225062,9
225617,8
226822,8
228779,28
229787,6
232888,13
234302,7
235744,13
235833,2
236275,10
236734,3
237976,17
238018,11
238550,14
240104,8
240663,10
240781,19
240924,12
241039,23
241688,6
242304,1
242350,4
243347,18
244846,1
245540,1
246240,13
246608,11
247565,9
248107,8
249917,16
250578,23
251269,4
251422,19
251805,2
252470,17
252708,4
252909,18
253325,15
253680,38
254094,7
254146,13
255214,9
256635,3
256795,15
257011,8
257104,25
258741,11
259378,20
259671,12
260579,6
261051,1
261411,12
261680,16
262794,7
262911,12
263910,24
264071,13
265477,3
265606,17
266355,4
267569,4
268515,1
268916,7
268988,4
269227,1
269437,17
269716,7
270060,7
272853,10
273466,6
273582,9
273716,6
273954,14
274025,12
274729,12
275527,6
275937,13
276136,14
277890,5
279415,1
280315,7
281091,4
281409,23
282381,3
282532,11
283002,5
283113,6
284014,9
284522,11
285085,5
285636,6
285667,3
285978,19
286279,10
286723,26
287079,1
287252,18
287993,4
288823,10
288825,7
289030,12
291346,8
293010,2
293345,6
295286,10
296002,4
296247,2
297476,3
297558,3
297808,18
297911,1
298359,2
299576,22
301462,19
302013,22
304033,4
304038,20
306083,31
306199,29
307520,5
307924,6
308798,2
309132,10
309301,8
309576,14
310452,9
310748,2
311469,13
312489,27
313406,7
313666,8
314482,4
314665,8
315592,5
315843,15
317191,2
318306,22
320755,3
321928,22
322430,15
322907,26
323233,12
323280,14
323292,10
324844,19
325658,26
325921,4
326756,1
329014,8
329221,10
330486,6
331289,10
333081,7
334668,10
334797,7
335311,7
337093,7
337938,7
338028,18
338864,3
339057,9
340263,13
340489,16
341289,19
342029,6
342101,22
342573,6
342964,4
344563,16
345861,17
346206,34
347802,51
348244,15
348343,3
348353,5
349997,9
350809,8
350840,10
351828,1
352193,8
352243,1
352309,13
352322,30
352523,2
352879,15
352905,26
355179,4
356153,7
356422,12
357382,42
358108,6
359090,7
359421,6
359875,1
361580,10
362023,2
362206,10
362469,7
363552,3
365208,6
365907,9
366440,18
367463,3
368191,9
368473,3
369329,5
370991,9
371847,8
373122,6
373173,9
374191,11
374563,16
374795,22
374938,6
375384,16
375919,21
378383,4
378854,8
378975,8
379385,6
380603,8
380944,10
381092,1
382687,21
383022,10
383087,10
383114,10
383124,7
383825,5
384572,17
384685,9
384837,13
385159,7
386424,7
386490,21
386756,1
386893,9
386905,8
387930,2
388160,6
389072,3
390211,10
390271,24
391957,21
392359,6
392568,4
392703,16
395055,4
395072,13
395140,16
395248,24
395506,12
396174,18
397519,16
398514,12
400095,6
400261,2
400276,26
401190,31
401757,1
403960,7
404393,12
404404,4
404697,11
406164,6
406502,7
408492,3
409513,1
410612,13
410821,3
411299,6
411380,4
411488,20
412675,8
413644,11
415058,23
417112,3
418242,6
419022,6
419191,3
419325,1
420152,12
421405,24
421582,16
424291,7
424655,17
425250,11
425694,15
425890,1
426443,17
426765,4
428124,7
428607,4
429900,7
430275,17
430582,9
430833,6
431448,9
433587,9
435262,15
436211,9
436250,14
436697,9
436756,8
437053,1
437076,5
437772,27
437800,12
438679,7
441607,36
442291,2
442424,17
442883,4
442933,1
443192,2
443780,26
444551,10
446024,7
446298,12
446503,2
447151,9
447294,4
447746,1
448333,4
448961,14
449182,14
450478,20
450624,3
451808,6
452409,6
453546,12
456770,9
457720,4
458533,11
458661,4
460832,2
462317,5
462459,1
462800,15
463103,22
463112,31
463796,5
464532,2
466275,9
467715,5
468994,19
469035,2
469234,21
470463,17
471967,12
472016,24
472275,1
472772,4
473434,8
473605,3
473680,4
473710,10
473997,10
474739,6
475092,12
476380,2
477920,10
477973,5
478172,14
478386,1
478571,17
478615,10
478997,14
481414,8
481725,5
481802,1
482562,10
482691,2
482913,3
483477,10
485004,7
485024,9
485100,1
485943,9
486533,2
486539,15
489257,5
491475,18
492052,6
492109,6
492616,9
492836,15
493235,21
494335,21
494593,18
494723,17
496257,20
496699,17
496909,4
497124,19
497788,4
497869,3
498791,4
499258,2
499913,2
501113,3
501490,1
502115,5
502130,11
502261,7
502722,21
503411,7
503445,7
503883,4
504385,20
505191,19
506094,16
506303,6
507421,15
509729,13
510018,5
510345,20
513840,7
513903,19
514153,22
514570,10
514848,1
515329,3
515914,2
516252,5
516589,3
517637,26
517804,14
518371,17
518683,6
520999,9
521142,8
521908,19
522482,18
522668,1
524981,10
525079,1
525824,7
525872,10
527418,8
527665,5
528510,4
528632,22
528657,12
528951,18
529220,4
529425,5
529535,3
529614,26
531862,18
532233,10
532344,9
533151,2
533165,21
534629,1
535074,13
535329,3
535958,1
537456,3
541389,6
541402,14
541419,9
541689,10
543462,3
544012,19
544040,3
545443,25
545961,8
546126,22
547499,1
548193,15
548479,8
549536,22
550245,5
550316,7
550792,20
551590,6
551937,1
552403,12
553748,5
553915,23
553925,12
553985,10
554031,52
555542,7
555651,7
556149,9
557179,7
557677,4
558390,3
558786,7
558841,5
559218,24
560482,7
561028,21
561520,23
561525,13
561994,5
563038,17
564264,11
564283,24
564352,2
564935,3
564962,20
565303,5
565408,8
565745,13
565809,28
569122,5
570035,8
570293,17
571419,19
571505,19
572029,4
572758,26
572799,8
573313,3
573785,7
573899,7
574624,6
575928,2
576624,20
577293,8
577405,14
577500,1
578732,5
578959,8
579988,11
580686,6
582291,24
585923,13
586327,19
586828,3
586996,12
587290,5
588409,3
588860,11
590102,2
590532,12
590749,13
591075,12
591631,23
592889,10
593202,8
593406,13
593783,20
594551,13
597152,15
598400,11
599470,18
600654,12
600940,13
602498,7
603476,2
604356,12
605031,4
607021,21
610189,7
610431,13
610461,16
610555,3
611029,15
611386,11
611424,6
611557,12
611657,2
611686,8
611830,11
611888,4
612302,6
613118,4
613407,11
613596,2
613793,19
614178,6
614815,6
616386,9
618208,4
618299,7
618569,12
619178,5
620204,3
621612,10
622650,12
624583,30
625157,8
626009,6
626501,6
627183,5
627775,6
628236,2
629235,3
629567,8
629789,7
630290,28
630809,4
631184,2
631660,1
631855,5
632628,9
632900,12
633169,11
633245,15
633868,4
634366,16
634846,4
637077,13
637341,13
637576,14
637932,20
637997,4
638100,16
638290,17
639041,12
639969,13
640443,26
640496,10
641163,7
641691,8
642704,2
642838,33
642848,11
643634,4
646280,2
646660,5
647838,8
648002,2
648654,8
649273,22
649389,8
649900,7
651632,8
651949,7
652037,7
652153,11
652439,9
653365,2
653516,4
654157,13
654751,12
657960,10
658165,11
658527,8
658538,7
659984,1
660093,19
660287,8
661390,21
662540,7
662814,18
662971,16
666092,11
667090,12
670107,19
671376,2
672894,4
673429,9
674152,20
676640,15
677772,18
678749,16
678761,7
678946,4
679701,17
679773,7
679997,6
680135,4
680467,2
680931,10
681072,17
681597,7
682441,6
683453,8
683941,22
684543,6
688104,11
689008,26
692811,4
692964,23
693690,17
695106,14
695463,8
695998,18
696119,8
696493,13
696636,2
700819,5
700886,31
701032,13
702566,7
703577,5
703719,15
704084,14
704908,10
705165,3
705613,16
705731,11
707152,6
707816,8
708663,9
709535,1
710163,3
711354,5
711795,5
712300,13
712335,14
712661,16
712970,11
713015,9
713893,11
714496,3
715207,1
716796,4
716921,7
717851,11
719828,6
720420,25
720871,17
722581,7
722754,5
723013,18
723788,7
724369,5
724574,12
725335,5
726273,5
727596,9
728007,1
728072,3
728920,9
729156,7
729950,1
730628,8
730949,6
731683,7
733008,41
734276,6
734336,14
734423,8
734583,10
736496,6
737109,14
737859,13
737943,16
738023,4
738939,17
738982,3
739119,12
739365,15
739384,8
739600,18
739655,4
739694,13
739789,11
740226,10
741262,11
741757,6
742815,14
743478,13
744184,11
745320,8
746153,7
747860,5
750497,25
750522,4
751134,8
751593,7
754618,7
755874,9
755966,3
756078,8
756379,2
756634,8
756801,10
757365,7
758574,6
758625,11
760142,12
761986,12
762330,10
763437,6
765223,17
765728,5
767885,5
768061,12
768363,15
768595,11
769639,25
770070,2
770809,5
770980,3
773290,3
774416,9
777123,6
778437,12
779398,9
780551,13
780837,9
781003,5
781039,15
782813,4
783800,7
786056,1
787129,16
787367,2
787607,22
788778,18
789652,22
790181,11
790265,4
790493,23
790733,7
790898,5
791445,17
791908,20
793255,23
793295,11
793707,12
794003,11
794393,21
795368,3
795507,9
795592,2
796281,9
796437,9
797551,17
798303,34
798821,4
799087,2
799870,24
799908,3
799985,10
799991,9
800185,4
800378,6
800512,6
801365,5
802332,7
802694,17
804877,5
806205,7
807254,2
807457,3
808527,4
810645,3
810899,13
811121,9
811625,17
812102,25
813989,5
815561,8
815618,9
816085,6
817226,9
818100,24
819444,7
819487,5
820737,14
821921,7
822747,7
823584,26
825189,8
826386,4
826460,32
826907,15
827032,6
827338,16
828011,11
828872,1
829524,3
830512,22
831906,1
833507,8
833858,11
834420,10
835177,3
837202,16
838444,2
839116,18
840388,18
841000,21
841603,23
843541,1
843817,2
844181,2
844728,21
845198,2
845388,7
845776,7
846506,8
846664,2
847351,10
847490,7
848171,13
848838,8
849549,12
851330,2
851423,33
851492,2
851535,12
852419,4
853028,6
853701,9
854559,9
855223,3
857780,20
857851,12
858869,27
858893,7
859086,4
859465,11
859963,6
860231,10
860928,15
861028,2
861035,2
862927,11
863844,7
864513,12
865642,21
865974,12
866117,12
866178,8
866646,2
866766,14
867001,3
867047,7
867410,5
867893,8
868128,4
868153,14
868217,9
868949,17
869210,11
870489,18
870551,4
871503,9
872578,2
873055,6
874378,16
875176,12
876285,6
876990,3
877014,14
877298,4
878189,7
878316,12
879251,3
879629,7
880066,7
880219,2
880396,7
880778,25
881777,9
882160,7
882191,7
882343,1
882965,5
883128,4
884104,6
884443,6
884642,37
885490,5
885520,9
885550,15
886877,11
887269,6
888462,6
888614,9
888618,13
890396,2
891055,5
891503,15
891602,4
891762,15
891951,8
894263,6
895495,4
895770,7
897300,36
899149,2
899430,1
899794,19
900981,1
902115,21
902774,29
902848,17
903802,3
903936,1
904434,11
906692,20
906788,6
907249,2
908068,12
908421,11
908502,8
908676,6
908817,3
909048,1
909656,9
909792,6
911534,6
911707,9
912155,11
912352,21
912933,8
913184,6
914231,2
915089,23
916398,3
917085,1
917580,13
918807,15
918879,19
919561,17
920456,4
920773,3
921002,9
921287,27
922184,9
922347,16
922659,1
922709,28
923240,7
923674,10
924199,13
924325,36
924484,12
924545,11
924970,8
926193,11
927558,5
929266,22
929790,10
929874,18
930549,5
932003,4
932069,24
932146,4
932287,5
933702,6
934540,10
934554,8
934635,14
936010,7
936495,2
936805,26
936877,22
937703,27
938449,2
938724,11
939485,12
939662,7
940212,10
940531,2
941230,6
941308,4
941440,26
943293,7
943573,1
944764,10
945476,12
946071,8
946375,12
947542,20
950009,13
950897,14
951579,14
952159,7
952189,16
952888,5
952927,6
953201,4
953260,1
953386,4
953671,5
954081,4
954565,5
954598,3
954868,13
956333,32
956560,17
956576,16
957658,15
957706,6
957754,12
958995,19
959731,14
960083,3
960232,12
961076,10
961492,3
961560,6
961810,7
963466,4
963747,10
963933,19
965267,1
965341,18
966290,2
966484,5
967266,10
968927,3
968932,3
969347,6
969595,10
970047,11
970501,12
970634,10
971357,6
971902,18
973058,4
973214,8
975630,7
